hex, variables
#46825A, $moneyfoam1
#5D926D, $moneyfoam2
#73A281, $moneyfoam3
#88B395, $moneyfoam4
#9FC4AA, $moneyfoam5
#B6D4BF, $moneyfoam6
#CCE6D5, $moneyfoam7
#E4F7EB, $moneyfoam8
