hex, variables
#7A0001, $sangriapeach1
#972516, $sangriapeach2
#B2422C, $sangriapeach3
#CC5F44, $sangriapeach4
#E37E61, $sangriapeach5
#F59E82, $sangriapeach6
#FFC1AA, $sangriapeach7
#FFE5D8, $sangriapeach8
