hex, variables
#E53516, $redyellow1
#EC5624, $redyellow2
#F17233, $redyellow3
#F68A41, $redyellow4
#FAA050, $redyellow5
#FDB75F, $redyellow6
#FECD6F, $redyellow7
#FFE37E, $redyellow8
