hex, variables
#959632, $moss1
#A8A74E, $moss2
#BCB968, $moss3
#CFCB83, $moss4
#E3DD9E, $moss5
#F6F0B9, $mosssapphire
#D6D2BD, $sapphire5
#B4B5C0, $sapphire4
#909AC2, $sapphire3
#667FC3, $sapphire2
#2166C3, $sapphire1
