hex, variables
#196B66, $teal1
#218C86, $teal2
#26B1AA, $teal3
#8CD1CE, $teal4
#BCDEDD, $teal5
#E9F0EC, $dirtteal
#D2D3C4, $dirt5
#BBA88F, $dirt4
#9E7A4C, $dirt3
#784C11, $dirt2
#5D3B0F, $dirt1
