hex, variables
#3571C0, $dem $dem0
#D9C3A5, $dem1
#8998AB, $dem2
#9AD3FC, $dem3 $dem-light
#C3F4CD, $dem4
#5DAED4, $dem5
#8ABDC0, $dem6
#775180, $dem7
#FFD682, $dem8
#948064, $dem9
