hex, variables
#FE5C40, $gop $gop0
#B8948E, $gop1
#FBA723, $gop2
#FFB2CB, $gop3 $gop-light
#B41E61, $gop4
#433E76, $gop5
#AC5141, $gop6
#7957B4, $gop7
#FEE0C2, $gop8
#FD87F7, $gop9
