hex, variables
#DC0228, $politico-red
#AC0825, $politico-red-dark
#F4F5F7, $politico-light-background
#E5E7EB, $politico-line
#B1B4BD, $politico-light-type-gray
#6E7381, $politico-dark-type-gray
#282D40, $politico-black
#121522, $politico-magazine
#007BC7, $link $politico-blue
#0E9AF3, $link-hover
#F86F00, $politico-orange
#3B5998, $facebook
#00ACED, $twitter
#121522, $mail $politico-magazine
