hex, variables
#3D284D, $q7-gray
#2F6CBA, $q7-blue
#88C2B2, $q7-green
#FFCAB3, $q7-peach
#DFA486, $q7-camel
#BD3232, $q7-red
#EBEB35, $q7-yellow
